"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"1"," 00AN","00ANGQ","Hammersmith and Fulham - Town",11201,117.7,0,23.7,3.6,9.4,0.6,79.95,NA,NA,NA,NA,NA
"2"," 00AN","00ANGA","Hammersmith and Fulham - Addison",11518,114,0.3,24.9,4.5,9.3,0.5,83.7,NA,NA,NA,NA,NA
"3"," 00AD","00ADGN","Bexley - Falconwood and Welling",10800,44.2,0.7,1.1,2.9,22.1,1.3,80.5,NA,NA,NA,NA,NA
"4"," 00BE","00BEGH","Southwark - East Dulwich",12321,65.3,0.7,20.3,4.6,12.3,0.7,82.05,17.5229283337391,8.7,28.2,25.9,5.6
"5"," 00BC","00BCFZ","Redbridge - Barkingside",12609,64.3,1.3,4.7,4.2,17.2,1.2,83.35,20.2791656753113,14.8,64.2,40.5,12.8
"6"," 00AG","00AGGD","Camden - Belsize",12702,67.6,1.3,19.6,3.3,8.4,0.6,83.1,17.4460714848055,12,27.8,46.3,14
"7"," 00BG","00BGGL","Tower Hamlets - Spitalfields and Banglatown",10286,213.5,1.4,31.9,11.2,17.2,0.3,93.2,NA,NA,NA,NA,NA
"8"," 00BE","00BEGD","Southwark - Camberwell Green",15032,128.1,1.6,63.5,11.6,19.3,0.4,79.75,21.1881319850985,7.4,61.1,46.8,13.4
"9"," 00BK","00BKGC","Westminster - Bryanston and Dorset Square",11991,255.3,2.1,7.8,3.3,8.2,0.4,87.15,NA,NA,NA,NA,NA
"10"," 00BB","00BBGL","Newham - Forest Gate South",17362,111.2,2.2,26.4,9.8,17.6,0.6,75.9,19.4102061974427,6.5,68.2,54.8,25.5
"11"," 00AH","00AHGE","Croydon - Addiscombe",16883,69.4,2.3,13.7,5.1,15.3,0.7,79.1,18.6815139489427,9.7,43.6,34.5,10.2
"12"," 00BB","00BBGM","Newham - Green Street East",15885,70.4,2.4,12.8,9.5,20.3,0.6,82.45,22.2599937047529,5.7,89.9,62.2,33.2
"13"," 00BJ","00BJGN","Wandsworth - Shaftesbury",14160,84.9,2.4,22.6,2.8,10.9,0.6,82.85,12.7189265536723,7.7,18.8,29,5.7
"14"," 00BJ","00BJGF","Wandsworth - Graveney",15198,105.1,2.6,17.8,5.2,14.7,0.6,80.45,17.8707724700618,8.8,46.4,42.4,14.4
"15"," 00AZ","00AZGG","Lewisham - Catford South",15214,57,3,12.6,6.5,17.3,0.9,79.4,21.4670698041278,11.3,56.2,32.2,7.1
"16"," 00AB","00ABFZ","Barking and Dagenham - Becontree",11545,91.7,3,29.4,10.2,28,0.9,78.15,NA,NA,NA,NA,NA
"17"," 00BK","00BKGF","Westminster - Harrow Road",12034,95.3,3,43.4,10.4,18.4,0.4,84.6,18.8964600299152,8.5,49,48.2,17.9
"18"," 00BE","00BEGU","Southwark - South Bermondsey",13780,107.3,3,52.3,8.7,21.9,0.5,79.15,20.5297532656023,7.2,44.8,41.1,14.6
"19"," 00AF","00AFHA","Bromley - Shortlands",9824,26.6,3.1,6.2,1.7,12.1,1.3,85.45,18.5260586319218,19.7,15.6,16,3.6
"20"," 00AN","00ANGE","Hammersmith and Fulham - Fulham Broadway",10996,111.6,3.1,36.2,4.6,14.8,0.5,77.8,NA,NA,NA,NA,NA
"21"," 00BB","00BBGN","Newham - Green Street West",15113,85.5,3.2,13.5,9.7,21.6,0.7,83.65,21.0150201813009,7.4,89.3,61.1,32.7
"22"," 00BC","00BCGC","Redbridge - Church End",11516,89.3,3.3,8.2,3.7,12.3,1.1,83,18.2354984369573,11.9,26.5,22.1,5.8
"23"," 00AQ","00AQGT","Harrow - Wealdstone",11394,85.8,3.4,15.1,6.4,20.9,1,78.45,23.4246094435668,11,62.6,46.9,18.3
"24"," 00AN","00ANGB","Hammersmith and Fulham - Askew",14160,73.1,3.6,34.8,6.7,13.7,0.5,76.4,NA,NA,NA,NA,NA
"25"," 00AH","00AHGT","Croydon - Purley",14607,81.7,3.8,7.6,4.4,12.9,1.2,81.6,19.4632710344355,15,31.6,23.1,5
"26"," 00BE","00BEGN","Southwark - Newington",14136,97.6,3.8,54.2,7.8,19.4,0.4,80.35,17.282116581777,8.5,48.2,42.5,13.6
"27"," 00BK","00BKGB","Westminster - Bayswater",10300,118.2,3.8,20.4,4.4,7.5,0.4,88.35,11.747572815534,9.7,31.1,56.1,23.9
"28"," 00BK","00BKGW","Westminster - West End",10575,2100.2,3.9,23.5,3.4,9.6,0.4,96.4,7.91489361702128,10.9,32.4,56.8,24.2
"29"," 00BK","00BKGT","Westminster - Warwick",9369,162,4,28.2,4,9.4,0.5,87.9,10.7161916960188,11.3,24,43.9,15.9
"30"," 00AN","00ANGR","Hammersmith and Fulham - Wormholt and White City",13389,79.2,4.2,52.3,10.5,21.5,0.5,82,NA,NA,NA,NA,NA
"31"," 00BH","00BHGD","Waltham Forest - Grove Green",14604,69.1,4.3,9.1,7.1,15.7,0.6,77.6,19.0427280197206,7.1,53.2,53,21.2
"32"," 00BK","00BKGN","Westminster - Queen's Park",12563,98.3,4.4,55.4,13.7,22.6,0.4,80.3,21.7702777998886,9.5,52.6,43.3,15.2
"33"," 00BE","00BEGM","Southwark - Livesey",14129,126.4,4.5,66.9,13.1,23.8,0.4,79.25,23.5685469601529,9.1,62.2,44.3,11.9
"34"," 00BE","00BEGL","Southwark - Grange",15362,140.5,4.5,45,7.6,15.7,0.4,79.5,14.1062361671657,6.5,39.1,38.3,10.8
"35"," 00AH","00AHGH","Croydon - Broad Green",18652,219.7,4.5,27.5,8.3,20.2,0.7,79.55,25.7613124597898,7.1,68.6,46.2,16.9
"36"," 00BC","00BCGB","Redbridge - Chadwell",14257,67.1,4.8,10,6.5,18.5,1,79.85,24.6685838535456,10.3,56.9,31.6,9.9
"37"," 00AP","00APGC","Haringey - Bruce Grove",14483,111.6,4.9,28.2,15.3,22.5,0.5,79.1,22.460816129255,8.4,55.9,55.5,23.5
"38"," 00BH","00BHFX","Waltham Forest - Cann Hall",13799,84.6,5,28.3,10.5,19.2,0.6,79.15,21.689977534604,7.1,57,48.8,18.2
"39"," 00BH","00BHGR","Waltham Forest - William Morris",13269,81,5.3,21.4,9,20.4,0.6,79.1,22.413143416987,8,51.8,43.6,16.9
"40"," 00AG","00AGGQ","Camden - Kentish Town",13417,126.3,5.3,33.3,5.6,13.6,0.4,75.95,15.8008496683312,9.6,28.4,34.2,10.4
"41"," 00BG","00BGGN","Tower Hamlets - Whitechapel",14862,146.5,5.4,32.9,9.3,17.1,0.3,78.4,16.3706096083973,5.6,60.2,48.8,24.8
"42"," 00BE","00BEGF","Southwark - Chaucer",15178,122.6,5.6,43.3,6.4,11.3,0.4,93,14.8240874950586,5.2,49.9,45.2,13.3
"43"," 00BA","00BAGE","Merton - Hillside",8977,52,5.7,9.9,1.2,6.4,0.8,86.35,13.8242174445806,13.7,21.7,41.6,11.3
"44"," 00AG","00AGGJ","Camden - Frognal and Fitzjohns",11986,65.2,5.7,7.1,1.9,6.1,0.8,82.8,NA,NA,NA,NA,NA
"45"," 00AX","00AXGL","Kingston upon Thames - Surbiton Hill",10459,30.3,5.8,7.5,1.7,10.7,1,80.5,16.7033177167989,13.5,19,25,7
"46"," 00AW","00AWGM","Kensington and Chelsea - Queen's Gate",9847,100.2,5.8,4,1.5,3.8,0.6,90.55,NA,NA,NA,NA,NA
"47"," 00BH","00BHGN","Waltham Forest - Leytonstone",12879,109.2,5.8,15.4,7.5,15.1,0.7,80.4,16.4220824598183,7.5,47.6,42.6,15.4
"48"," 00AD","00ADGU","Bexley - St. Michael's",11135,30,5.9,7,3.7,21.8,1.4,85.8,NA,NA,NA,NA,NA
"49"," 00AW","00AWFY","Kensington and Chelsea - Abingdon",10013,97.2,5.9,9.4,2.8,6.3,0.6,85.85,NA,NA,NA,NA,NA
"50"," 00BE","00BEGY","Southwark - The Lane",15565,150.3,6,41.5,9.7,17.5,0.5,79.15,19.8393832316094,9.1,50.7,37.7,8.5
"51"," 00BB","00BBGC","Newham - Boleyn",15982,109.5,6.1,25.8,9.8,22.4,0.6,79,24.9405581278939,7.5,78.1,54.8,26.4
"52"," 00BG","00BGFW","Tower Hamlets - Bethnal Green North",13683,123.6,6.1,46,12.8,22.1,0.4,76.1,18.5558722502375,7,49.4,38.7,15
"53"," 00AJ","00AJGF","Ealing - Ealing Broadway",14029,159.6,6.1,11,3.4,7.3,0.8,82.35,14.5484353838477,11.9,30.5,44.3,18.6
"54"," 00BK","00BKGM","Westminster - Marylebone High Street",10366,376.3,6.1,9.9,1.3,5.8,0.5,84.15,8.52787960640556,11.7,27.8,58.5,21.8
"55"," 00AE","00AEGR","Brent - Kensal Green",14915,141,6.9,26.7,13.3,19.7,0.6,79.9,19.5507877975193,9,52.3,50.2,21.9
"56"," 00AX","00AXGA","Kingston upon Thames - Canbury",12373,48.7,7,12.5,1.9,9,0.9,79.4,21.7004768447426,7.9,21.4,27.5,9.5
"57"," 00BE","00BEGC","Southwark - Brunswick Park",13174,100.1,7,46.6,10.1,15.2,0.5,84.75,19.6599362380446,7.1,53.3,40.6,10.7
"58"," 00BE","00BEGQ","Southwark - Peckham",14720,126.2,7,59.4,14.4,19.6,0.5,76.8,24.2663043478261,6.2,70.8,47.6,12.3
"59"," 00AQ","00AQGH","Harrow - Kenton East",11138,45.6,7.2,14.8,3.7,23.4,1.2,82.05,18.737654875202,12.4,73.4,57.1,24.7
"60"," 00BK","00BKGA","Westminster - Abbey Road",11250,56.8,7.2,9.1,2.4,10,0.7,83.3,17.4577777777778,14,35.4,56.9,20.4
"61"," 00AG","00AGGG","Camden - Cantelowes",11925,110.4,7.4,40.3,6.2,13.9,0.4,79.85,16.1844863731656,9.1,31.9,35.9,12.6
"62"," 00AT","00ATGT","Hounslow - Turnham Green",11448,117.8,7.4,14.7,2.7,9.9,0.8,80.85,14.9807826694619,12.9,23.2,39.9,12.8
"63"," 00AG","00AGGP","Camden - Holborn and Covent Garden",13023,480.3,7.5,42.5,6,12.9,0.3,79.2,NA,NA,NA,NA,NA
"64"," 00BK","00BKGE","Westminster - Church Street",11760,111,7.6,55.8,12.4,28.1,0.3,74.9,23.1632653061224,11.4,61.7,52.7,27.2
"65"," 00AH","00AHGG","Croydon - Bensham Manor",16201,68.8,7.7,11.9,8.5,17.9,0.8,82.6,23.0603049194494,9.8,73.5,45.3,12.9
"66"," 00AQ","00AQGB","Harrow - Greenhill",12420,151.9,7.7,11.4,5.3,11.7,0.8,79.25,16.8276972624799,10.4,58.5,52.7,20.7
"67"," 00BC","00BCGE","Redbridge - Clementswood",14666,183.3,7.7,10.7,9.1,18.6,0.8,78.95,26.6398472657848,7.4,84.2,55.6,25.1
"68"," 00BF","00BFGP","Sutton - Sutton South",9599,43.5,8.1,11.9,3.5,15.7,0.9,79.45,14.8765496405876,17.5,24.4,29.4,9.7
